"filename", "language", "Python", "Batch", "PowerShell", "Properties", "C", "JSON", "reStructuredText", "YAML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\tabs.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 61, 373
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\template_route.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\text.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 56, 365
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\text_button.py", "Python", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 42, 274
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\text_span.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 123
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\text_style.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\textfield.py", "Python", 460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 84, 580
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\theme.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 143
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\time_picker.py", "Python", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45, 231
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\tooltip.py", "Python", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 51, 298
